"","OCCSOC","Soc_last1","Soc_last2","Soc_last3"
"259","19-2030","19-2030","19-2000","19-2000"
"260","33-1012","33-1010","33-1000","33-1000"
"261","17-3023","17-3020","17-3000","17-3000"
"262","15-1254","15-1250","15-1200","15-1000"
"263","27-4030","27-4030","27-4000","27-4000"
"264","29-9000","29-9000","29-9000","29-9000"
"265","29-2055","29-2050","29-2000","29-2000"
"266","51-8031","51-8030","51-8000","51-8000"
"267","13-2082","13-2080","13-2000","13-2000"
"268","33-9021","33-9020","33-9000","33-9000"
"269","13-20XX","13-20X0","13-2000","13-2000"
"270","53-7081","53-7080","53-7000","53-7000"
"271","43-6013","43-6010","43-6000","43-6000"
"272","29-1131","29-1130","29-1100","29-1000"
"273","51-8021","51-8020","51-8000","51-8000"
"274","39-3010","39-3010","39-3000","39-3000"
"275","27-3091","27-3090","27-3000","27-3000"
"276","41-9091","41-9090","41-9000","41-9000"
"277","29-2032","29-2030","29-2000","29-2000"
"278","19-1020","19-1020","19-1000","19-1000"
"279","43-4XXX","43-4XX0","43-4X00","43-4000"
"280","23-2093","23-2090","23-2000","23-2000"
"281","37-3013","37-3010","37-3000","37-3000"
"282","51-9160","51-9160","51-9100","51-9000"
"283","43-5031","43-5030","43-5000","43-5000"
"284","37-2021","37-2020","37-2000","37-2000"
"285","17-301X","17-3010","17-3000","17-3000"
"286","49-3090","49-3090","49-3000","49-3000"
"287","51-3092","51-3090","51-3000","51-3000"
"288","13-2020","13-2020","13-2000","13-2000"
"289","39-9041","39-9040","39-9000","39-9000"
"290","19-5010","19-5010","19-5000","19-5000"
"291","39-5094","39-5090","39-5000","39-5000"
"292","21-1092","21-1090","21-1000","21-1000"
"293","39-6010","39-6010","39-6000","39-6000"
"294","43-4031","43-4030","43-4000","43-4000"
"295","15-1253","15-1250","15-1200","15-1000"
"296","43-4061","43-4060","43-4000","43-4000"
"297","51-9080","51-9080","51-9000","51-9000"
"298","21-2099","21-2090","21-2000","21-2000"
"299","21-1022","21-1020","21-1000","21-1000"
"300","47-4051","47-4050","47-4000","47-4000"
"301","17-2041","17-2040","17-2000","17-2000"
"302","51-9020","51-9020","51-9000","51-9000"
"303","27-3023","27-3020","27-3000","27-3000"
"304","53-3053","53-3050","53-3000","53-3000"
"305","21-1021","21-1020","21-1000","21-1000"
"306","25-4010","25-4010","25-4000","25-4000"
"307","43-4161","43-4160","43-4100","43-4000"
"308","13-1131","13-1130","13-1100","13-1000"
"309","51-9010","51-9010","51-9000","51-9000"
"310","33-1090","33-1090","33-1000","33-1000"
"311","21-2021","21-2020","21-2000","21-2000"
"312","53-71XX","53-71X0","53-7100","53-7000"
"313","31-9096","31-9090","31-9000","31-9000"
"314","13-1141","13-1140","13-1100","13-1000"
"315","43-5111","43-5110","43-5100","43-5000"
"316","41-2021","41-2020","41-2000","41-2000"
"317","15-1255","15-1250","15-1200","15-1000"
"318","29-1011","29-1010","29-1000","29-1000"
"319","11-3131","11-3130","11-3100","11-3000"
"320","17-3031","17-3030","17-3000","17-3000"
"321","51-4031","51-4030","51-4000","51-4000"
"322","29-2081","29-2080","29-2000","29-2000"
"323","31-113X","31-1130","31-1100","31-1000"
"324","41-3041","41-3040","41-3000","41-3000"
"325","55-1010","55-1010","55-1000","55-1000"
"326","43-9051","43-9050","43-9000","43-9000"
"327","39-7010","39-7010","39-7000","39-7000"
"328","11-3012","11-3010","11-3000","11-3000"
"329","51-9198","51-9190","51-9100","51-9000"
"330","13-2081","13-2080","13-2000","13-2000"
"331","27-3042","27-3040","27-3000","27-3000"
"332","39-1000","39-1000","39-1000","39-1000"
"333","49-9060","49-9060","49-9000","49-9000"
"334","53-6021","53-6020","53-6000","53-6000"
"335","11-2011","11-2010","11-2000","11-2000"
"336","47-2221","47-2220","47-2200","47-2000"
"337","53-7021","53-7020","53-7000","53-7000"
"338","19-4031","19-4030","19-4000","19-4000"
"339","51-9030","51-9030","51-9000","51-9000"
"340","51-6050","51-6050","51-6000","51-6000"
"341","17-2061","17-2060","17-2000","17-2000"
"342","43-6012","43-6010","43-6000","43-6000"
"343","49-2098","49-2090","49-2000","49-2000"
"344","47-50XX","47-50X0","47-5000","47-5000"
"345","19-30XX","19-30X0","19-3000","19-3000"
"346","27-1023","27-1020","27-1000","27-1000"
"347","23-2099","23-2090","23-2000","23-2000"
"348","29-1240","29-1240","29-1200","29-1000"
"349","43-5053","43-5050","43-5000","43-5000"
"350","47-2050","47-2050","47-2000","47-2000"
"351","55-2010","55-2010","55-2000","55-2000"
"352","31-2010","31-2010","31-2000","31-2000"
"353","39-2011","39-2010","39-2000","39-2000"
"354","29-205X","29-2050","29-2000","29-2000"
"355","13-2031","13-2030","13-2000","13-2000"
"356","19-3034","19-3030","19-3000","19-3000"
"357","17-3011","17-3010","17-3000","17-3000"
"358","51-7011","51-7010","51-7000","51-7000"
"359","41-9031","41-9030","41-9000","41-9000"
"360","51-4111","51-4110","51-4100","51-4000"
"361","17-2131","17-2130","17-2100","17-2000"
"362","33-1021","33-1020","33-1000","33-1000"
"363","29-2035","29-2030","29-2000","29-2000"
"364","33-9091","33-9090","33-9000","33-9000"
"365","11-9070","11-9070","11-9000","11-9000"
"366","45-4020","45-4020","45-4000","45-4000"
"367","45-2041","45-2040","45-2000","45-2000"
"368","47-40XX","47-40X0","47-4000","47-4000"
"369","47-2151","47-2150","47-2100","47-2000"
"370","29-2031","29-2030","29-2000","29-2000"
"371","27-2041","27-2040","27-2000","27-2000"
"372","49-9044","49-9040","49-9000","49-9000"
"373","51-8010","51-8010","51-8000","51-8000"
"374","31-9094","31-9090","31-9000","31-9000"
"375","47-3010","47-3010","47-3000","47-3000"
"376","29-1041","29-1040","29-1000","29-1000"
"377","45-1011","45-1010","45-1000","45-1000"
"378","13-1011","13-1010","13-1000","13-1000"
"379","47-2121","47-2120","47-2100","47-2000"
"380","29-1151","29-1150","29-1100","29-1000"
"381","47-2130","47-2130","47-2100","47-2000"
"382","47-5040","47-5040","47-5000","47-5000"
"383","19-204X","19-2040","19-2000","19-2000"
"384","53-5020","53-5020","53-5000","53-5000"
"385","51-9071","51-9070","51-9000","51-9000"
