"","SocCode","Soc_last1","Soc_last2","Soc_last3"
"199","23-1021","23-1020","23-1000","23-1000"
"200","23-1022","23-1020","23-1000","23-1000"
"201","23-1023","23-1020","23-1000","23-1000"
"202","23-2011","23-2010","23-2000","23-2000"
"203","23-2093","23-2090","23-2000","23-2000"
"204","23-2099","23-2090","23-2000","23-2000"
"205","25-1011","25-1010","25-1000","25-1000"
"206","25-1021","25-1020","25-1000","25-1000"
"207","25-1022","25-1020","25-1000","25-1000"
"208","25-1031","25-1030","25-1000","25-1000"
"209","25-1032","25-1030","25-1000","25-1000"
"210","25-1041","25-1040","25-1000","25-1000"
"211","25-1042","25-1040","25-1000","25-1000"
"212","25-1043","25-1040","25-1000","25-1000"
"213","25-1051","25-1050","25-1000","25-1000"
"214","25-1052","25-1050","25-1000","25-1000"
"215","25-1053","25-1050","25-1000","25-1000"
"216","25-1054","25-1050","25-1000","25-1000"
"217","25-1061","25-1060","25-1000","25-1000"
"218","25-1062","25-1060","25-1000","25-1000"
"219","25-1063","25-1060","25-1000","25-1000"
"220","25-1064","25-1060","25-1000","25-1000"
"221","25-1065","25-1060","25-1000","25-1000"
"222","25-1066","25-1060","25-1000","25-1000"
"223","25-1067","25-1060","25-1000","25-1000"
"224","25-1069","25-1060","25-1000","25-1000"
"225","25-1071","25-1070","25-1000","25-1000"
"226","25-1072","25-1070","25-1000","25-1000"
"227","25-1081","25-1080","25-1000","25-1000"
"228","25-1082","25-1080","25-1000","25-1000"
"229","25-1111","25-1110","25-1100","25-1000"
"230","25-1112","25-1110","25-1100","25-1000"
"231","25-1113","25-1110","25-1100","25-1000"
"232","25-1121","25-1120","25-1100","25-1000"
"233","25-1122","25-1120","25-1100","25-1000"
"234","25-1123","25-1120","25-1100","25-1000"
"235","25-1124","25-1120","25-1100","25-1000"
"236","25-1125","25-1120","25-1100","25-1000"
"237","25-1126","25-1120","25-1100","25-1000"
"238","25-1192","25-1190","25-1100","25-1000"
"239","25-1193","25-1190","25-1100","25-1000"
"240","25-1194","25-1190","25-1100","25-1000"
"241","25-1199","25-1190","25-1100","25-1000"
"242","25-2011","25-2010","25-2000","25-2000"
"243","25-2012","25-2010","25-2000","25-2000"
"244","25-2021","25-2020","25-2000","25-2000"
"245","25-2022","25-2020","25-2000","25-2000"
"246","25-2023","25-2020","25-2000","25-2000"
"247","25-2031","25-2030","25-2000","25-2000"
"248","25-2032","25-2030","25-2000","25-2000"
"249","25-2051","25-2050","25-2000","25-2000"
"250","25-2055","25-2050","25-2000","25-2000"
"251","25-2056","25-2050","25-2000","25-2000"
"252","25-2057","25-2050","25-2000","25-2000"
"253","25-2058","25-2050","25-2000","25-2000"
"254","25-2059","25-2050","25-2000","25-2000"
"255","25-3011","25-3010","25-3000","25-3000"
"256","25-3021","25-3020","25-3000","25-3000"
"257","25-3031","25-3030","25-3000","25-3000"
"258","25-3041","25-3040","25-3000","25-3000"
"259","25-3099","25-3090","25-3000","25-3000"
"260","25-4011","25-4010","25-4000","25-4000"
"261","25-4012","25-4010","25-4000","25-4000"
"262","25-4013","25-4010","25-4000","25-4000"
"263","25-4022","25-4020","25-4000","25-4000"
"264","25-4031","25-4030","25-4000","25-4000"
"265","25-9021","25-9020","25-9000","25-9000"
"266","25-9031","25-9030","25-9000","25-9000"
"267","25-9042","25-9040","25-9000","25-9000"
"268","25-9043","25-9040","25-9000","25-9000"
"269","25-9044","25-9040","25-9000","25-9000"
"270","25-9049","25-9040","25-9000","25-9000"
"271","25-9099","25-9090","25-9000","25-9000"
"272","27-1011","27-1010","27-1000","27-1000"
"273","27-1012","27-1010","27-1000","27-1000"
"274","27-1013","27-1010","27-1000","27-1000"
"275","27-1014","27-1010","27-1000","27-1000"
"276","27-1019","27-1010","27-1000","27-1000"
"277","27-1021","27-1020","27-1000","27-1000"
"278","27-1022","27-1020","27-1000","27-1000"
"279","27-1023","27-1020","27-1000","27-1000"
"280","27-1024","27-1020","27-1000","27-1000"
"281","27-1025","27-1020","27-1000","27-1000"
"282","27-1026","27-1020","27-1000","27-1000"
"283","27-1027","27-1020","27-1000","27-1000"
"284","27-1029","27-1020","27-1000","27-1000"
"285","27-2011","27-2010","27-2000","27-2000"
"286","27-2012","27-2010","27-2000","27-2000"
"287","27-2021","27-2020","27-2000","27-2000"
"288","27-2022","27-2020","27-2000","27-2000"
"289","27-2023","27-2020","27-2000","27-2000"
"290","27-2031","27-2030","27-2000","27-2000"
"291","27-2032","27-2030","27-2000","27-2000"
"292","27-2041","27-2040","27-2000","27-2000"
"293","27-2042","27-2040","27-2000","27-2000"
"294","27-2091","27-2090","27-2000","27-2000"
"295","27-2099","27-2090","27-2000","27-2000"
"296","27-3011","27-3010","27-3000","27-3000"
"297","27-3023","27-3020","27-3000","27-3000"
"298","27-3031","27-3030","27-3000","27-3000"
"299","27-3041","27-3040","27-3000","27-3000"
"300","27-3042","27-3040","27-3000","27-3000"
"301","27-3043","27-3040","27-3000","27-3000"
"302","27-3091","27-3090","27-3000","27-3000"
"303","27-3092","27-3090","27-3000","27-3000"
"304","27-3099","27-3090","27-3000","27-3000"
"305","27-4011","27-4010","27-4000","27-4000"
"306","27-4012","27-4010","27-4000","27-4000"
"307","27-4014","27-4010","27-4000","27-4000"
"308","27-4015","27-4010","27-4000","27-4000"
"309","27-4021","27-4020","27-4000","27-4000"
"310","27-4031","27-4030","27-4000","27-4000"
"311","27-4032","27-4030","27-4000","27-4000"
"312","27-4099","27-4090","27-4000","27-4000"
"313","29-1011","29-1010","29-1000","29-1000"
"314","29-1021","29-1020","29-1000","29-1000"
"315","29-1022","29-1020","29-1000","29-1000"
"316","29-1023","29-1020","29-1000","29-1000"
"317","29-1024","29-1020","29-1000","29-1000"
"318","29-1029","29-1020","29-1000","29-1000"
"319","29-1031","29-1030","29-1000","29-1000"
"320","29-1041","29-1040","29-1000","29-1000"
"321","29-1051","29-1050","29-1000","29-1000"
"322","29-1071","29-1070","29-1000","29-1000"
"323","29-1081","29-1080","29-1000","29-1000"
"324","29-1122","29-1120","29-1100","29-1000"
"325","29-1123","29-1120","29-1100","29-1000"
"326","29-1124","29-1120","29-1100","29-1000"
"327","29-1125","29-1120","29-1100","29-1000"
"328","29-1126","29-1120","29-1100","29-1000"
"329","29-1127","29-1120","29-1100","29-1000"
"330","29-1128","29-1120","29-1100","29-1000"
"331","29-1129","29-1120","29-1100","29-1000"
"332","29-1131","29-1130","29-1100","29-1000"
"333","29-1141","29-1140","29-1100","29-1000"
"334","29-1151","29-1150","29-1100","29-1000"
"335","29-1161","29-1160","29-1100","29-1000"
"336","29-1171","29-1170","29-1100","29-1000"
"337","29-1181","29-1180","29-1100","29-1000"
"338","29-1211","29-1210","29-1200","29-1000"
"339","29-1212","29-1210","29-1200","29-1000"
"340","29-1213","29-1210","29-1200","29-1000"
"341","29-1214","29-1210","29-1200","29-1000"
"342","29-1215","29-1210","29-1200","29-1000"
"343","29-1216","29-1210","29-1200","29-1000"
"344","29-1217","29-1210","29-1200","29-1000"
"345","29-1218","29-1210","29-1200","29-1000"
"346","29-1221","29-1220","29-1200","29-1000"
"347","29-1222","29-1220","29-1200","29-1000"
"348","29-1223","29-1220","29-1200","29-1000"
"349","29-1224","29-1220","29-1200","29-1000"
"350","29-1229","29-1220","29-1200","29-1000"
"351","29-1241","29-1240","29-1200","29-1000"
"352","29-1242","29-1240","29-1200","29-1000"
"353","29-1243","29-1240","29-1200","29-1000"
"354","29-1249","29-1240","29-1200","29-1000"
"355","29-1291","29-1290","29-1200","29-1000"
"356","29-1292","29-1290","29-1200","29-1000"
"357","29-1299","29-1290","29-1200","29-1000"
"358","29-2011","29-2010","29-2000","29-2000"
"359","29-2012","29-2010","29-2000","29-2000"
"360","29-2031","29-2030","29-2000","29-2000"
"361","29-2032","29-2030","29-2000","29-2000"
"362","29-2033","29-2030","29-2000","29-2000"
"363","29-2034","29-2030","29-2000","29-2000"
"364","29-2035","29-2030","29-2000","29-2000"
"365","29-2036","29-2030","29-2000","29-2000"
"366","29-2042","29-2040","29-2000","29-2000"
"367","29-2043","29-2040","29-2000","29-2000"
"368","29-2051","29-2050","29-2000","29-2000"
"369","29-2052","29-2050","29-2000","29-2000"
"370","29-2053","29-2050","29-2000","29-2000"
"371","29-2055","29-2050","29-2000","29-2000"
"372","29-2056","29-2050","29-2000","29-2000"
"373","29-2057","29-2050","29-2000","29-2000"
"374","29-2061","29-2060","29-2000","29-2000"
"375","29-2072","29-2070","29-2000","29-2000"
