"","SocCode","n","SOC Broad Occupation","SOC Minor Occupation","OCCSOC","ACS_occupation"
"243","43-4071",533,"43-4070","43-4000","43-4071","43-4071"
"244","43-4081",533,"43-4080","43-4000","43-4081","43-4081"
"245","43-4111",533,"43-4110","43-4000","43-4111","43-4111"
"246","43-4121",533,"43-4120","43-4000","43-4121","43-4121"
"247","43-4131",533,"43-4130","43-4000","43-4131","43-4131"
"248","43-4141",533,"43-4140","43-4000","43-4141","43-4141"
"249","43-4161",533,"43-4160","43-4000","43-4161","43-4161"
"250","43-4171",533,"43-4170","43-4000","43-4171","43-4171"
"251","43-4181",533,"43-4180","43-4000","43-4181","43-4181"
"252","43-5011",533,"43-5010","43-5000","43-5011","43-5011"
"253","43-5021",533,"43-5020","43-5000","43-5021","43-5021"
"254","43-5031",533,"43-5030","43-5000","43-5031","43-5031"
"255","43-5032",533,"43-5030","43-5000","43-5032","43-5032"
"256","43-5041",533,"43-5040","43-5000","43-5041","43-5041"
"257","43-5051",533,"43-5050","43-5000","43-5051","43-5051"
"258","43-5052",533,"43-5050","43-5000","43-5052","43-5052"
"259","43-5053",533,"43-5050","43-5000","43-5053","43-5053"
"260","43-5061",533,"43-5060","43-5000","43-5061","43-5061"
"261","43-5071",533,"43-5070","43-5000","43-5071","43-5071"
"262","43-5111",533,"43-5110","43-5000","43-5111","43-5111"
"263","43-6011",533,"43-6010","43-6000","43-6011","43-6011"
"264","43-6012",533,"43-6010","43-6000","43-6012","43-6012"
"265","43-6013",533,"43-6010","43-6000","43-6013","43-6013"
"266","43-6014",533,"43-6010","43-6000","43-6014","43-6014"
"267","43-9021",533,"43-9020","43-9000","43-9021","43-9021"
"268","43-9022",533,"43-9020","43-9000","43-9022","43-9022"
"269","43-9041",533,"43-9040","43-9000","43-9041","43-9041"
"270","43-9051",533,"43-9050","43-9000","43-9051","43-9051"
"271","43-9061",533,"43-9060","43-9000","43-9061","43-9061"
"272","43-9071",533,"43-9070","43-9000","43-9071","43-9071"
"273","43-9081",533,"43-9080","43-9000","43-9081","43-9081"
"274","43-9111",533,"43-9110","43-9000","43-9111","43-9111"
"275","45-1011",533,"45-1010","45-1000","45-1011","45-1011"
"276","45-2011",533,"45-2010","45-2000","45-2011","45-2011"
"277","45-2041",533,"45-2040","45-2000","45-2041","45-2041"
"278","45-3031",533,"45-3030","45-3000","45-3031","45-3031"
"279","45-4011",533,"45-4010","45-4000","45-4011","45-4011"
"280","47-1011",533,"47-1010","47-1000","47-1011","47-1011"
"281","47-2011",533,"47-2010","47-2000","47-2011","47-2011"
"282","47-2031",533,"47-2030","47-2000","47-2031","47-2031"
"283","47-2061",533,"47-2060","47-2000","47-2061","47-2061"
"284","47-2111",533,"47-2110","47-2000","47-2111","47-2111"
"285","47-2121",533,"47-2120","47-2000","47-2121","47-2121"
"286","47-2151",533,"47-2150","47-2000","47-2151","47-2151"
"287","47-2152",533,"47-2150","47-2000","47-2152","47-2152"
"288","47-2161",533,"47-2160","47-2000","47-2161","47-2161"
"289","47-2181",533,"47-2180","47-2000","47-2181","47-2181"
"290","47-2211",533,"47-2210","47-2000","47-2211","47-2211"
